,order_id,postal_code,cost_price,quantity,order_date,ship_mode,segment,country,city,state,region,category,sub_category,product_id,discount,sale_price,profit
0,1,42420,240,2,2023-03-01,Second Class,Consumer,United States,Henderson,Kentucky,South,Furniture,Bookcases,FUR-BO-10001798,5.2,254.8,14.800000000000011
1,2,42420,600,3,2023-08-15,Second Class,Consumer,United States,Henderson,Kentucky,South,Furniture,Chairs,FUR-CH-10000454,21.900000000000002,708.1,108.10000000000002
2,3,90036,10,2,2023-01-10,Second Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Labels,OFF-LA-10000240,0.5,9.5,-0.5
3,4,33311,780,5,2022-06-18,Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,Furniture,Tables,FUR-TA-10000577,19.2,940.8,160.79999999999995
4,5,33311,20,2,2022-07-13,Standard Class,Consumer,United States,Fort Lauderdale,Florida,South,Office Supplies,Storage,OFF-ST-10000760,1.0,19.0,-1.0
5,6,90032,50,7,2022-03-13,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,FUR-FU-10001487,1.5,48.5,-1.5
6,7,90032,10,4,2022-12-28,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Art,OFF-AR-10002833,0.3,9.7,-0.3000000000000007
7,8,90032,860,6,2022-01-25,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,TEC-PH-10002275,45.5,864.5,4.5
8,9,90032,20,3,2023-03-23,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,OFF-BI-10003910,0.6968246018230992,19.3031753981769,-0.6968246018230992
9,10,90032,90,5,2023-05-16,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Appliances,OFF-AP-10002892,3.832535310027046,106.16746468997296,16.16746468997296
10,11,90032,1470,9,2023-03-31,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Tables,FUR-TA-10001539,59.57850345587499,1650.421496544125,180.42149654412492
11,12,90032,750,4,2023-12-25,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,TEC-PH-10002033,31.705519382951017,878.294480617049,128.29448061704898
12,13,28027,20,3,2022-02-11,Standard Class,Consumer,United States,Concord,North Carolina,South,Office Supplies,Paper,OFF-PA-10002365,0.6968246018230992,19.3031753981769,-0.6968246018230992
13,14,98103,360,3,2023-07-18,Standard Class,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,OFF-BI-10003656,14.284904337373534,395.7150956626265,35.71509566262648
14,15,76106,60,5,2023-11-09,Standard Class,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Appliances,OFF-AP-10002311,2.4388861063808474,67.56111389361915,7.561113893619151
15,16,76106,0,3,2022-06-18,Standard Class,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Binders,OFF-BI-10000756,0.0,0.0,0.0
16,17,53711,610,6,2022-02-04,Standard Class,Consumer,United States,Madison,Wisconsin,Central,Office Supplies,Storage,OFF-ST-10004186,23.343624161073826,646.6563758389261,36.656375838926124
17,18,84084,60,2,2023-08-04,Second Class,Consumer,United States,West Jordan,Utah,West,Office Supplies,Storage,OFF-ST-10000107,2.4,57.6,-2.3999999999999986
